Field,Total_cnt,Diff_cnt,Diff_pct,Up_cnt,Up_pct,Down_cnt,Down_pct,Matched,Mean_Base,Mean_Test,Standard_dev_Base,Standard_dev_Test,Change_standard_dev,Char_str_count_Base,Char_str_count_Test,Blank_Base,Blank_Test
curraddrcartheftindex,25000,805,3.22,315,1.26,336,1.344,24195,93.1796,93.25304,60.73121245822419,60.55729342530072,0.17391903292347166,0,0,154,154
curraddrburglaryindex,25000,807,3.228,308,1.232,345,1.38,24193,93.42472,93.55796,58.66958900955531,58.59997623860045,0.06961277095486196,0,0,154,154
curraddrcrimeindex,25000,804,3.216,307,1.228,343,1.372,24196,90.06688,90.1584,59.01832717866763,58.894032815329126,0.12429436333850674,0,0,154,154
prevaddrageoldestrecord,25000,1046,4.184,424,1.696,468,1.872,23954,121.52448,121.874,106.95456873559137,106.71845810785094,0.23611062774043035,0,0,154,154
prevaddragenewestrecord,25000,416,1.664,167,0.668,95,0.38,24584,12.68448,12.56792,34.55846708936592,34.477918927110224,0.08054816225569539,0,0,154,154
prevaddrlenofres,25000,1056,4.224,406,1.624,496,1.984,23944,108.83256,109.30116,101.60717692649183,101.3883220481501,0.21885487834173034,0,0,154,154
prevaddrdwelltype,25000,22781,91.124,0,0.0,0,0.0,2219,-0.09308,-0.09148,0.276692359392362,0.2743039473428554,0.002388412049506572,0,0,22673,22713
prevaddrapplicantowned,25000,402,1.608,86,0.344,162,0.648,24598,0.11612,0.1194,0.46112155128216187,0.45942500787056373,0.0016965434115981393,0,0,154,154
prevaddrfamilyowned,25000,491,1.964,132,0.528,205,0.82,24509,0.12984,0.13312,0.47218399644441506,0.47043169121374057,0.001752305230674489,0,0,154,154
prevaddroccupantowned,25000,502,2.008,151,0.604,197,0.788,24498,0.1326,0.135,0.4743299802862464,0.4718818180417138,0.0024481622445325923,0,0,154,154
prevaddragelastsale,25000,1027,4.108,520,2.08,353,1.412,23973,58.42616,58.09288,90.1929551131026,90.08704464707311,0.10591046602948495,0,0,154,154
prevaddrlastsalesprice,25000,830,3.32,337,1.348,339,1.356,24170,256110.67796,257933.0464,6002629.30484281,6012948.403071362,-10319.098228551447,0,0,154,154
prevaddrtaxvalue,25000,1191,4.764,393,1.572,644,2.576,23809,410275.98112,404215.6316,4332448.456002795,4318573.6983505795,13874.75765221566,0,0,154,154
prevaddrtaxyr,25000,1029,4.116,241,0.964,634,2.536,23971,1255.23292,1258.07232,974.2482587403082,973.5422101339143,0.7060486063938924,0,0,154,154
prevaddrtaxmarketvalue,25000,1102,4.408,333,1.332,615,2.46,23898,602776.34988,595693.61672,19413439.171284452,19413677.56099443,-238.38970997929573,0,0,154,154
prevaddravmvalue,25000,830,3.32,298,1.192,378,1.512,24170,162592.89132,162995.1054,478949.68960687175,477305.47275961476,1644.2168472569901,0,0,154,154
prevaddrcountyindex,25000,825,3.3,298,1.192,373,1.492,24175,0.4946684000000018,0.49817920000000193,1.0581523735234764,1.0403052619091895,0.01784711161428687,0,0,154,154
prevaddrtractindex,25000,825,3.3,294,1.176,377,1.508,24175,0.4936595999999997,0.49608520000000017,1.202104629620743,1.1822476877135342,0.01985694190720877,0,0,154,154
prevaddrblockindex,25000,827,3.308,294,1.176,379,1.516,24173,0.49668119999999916,0.5001987999999993,1.2052204136694995,1.1953867030996668,0.009833710569832732,0,0,154,154
prevaddrmedianincome,25000,1012,4.048,413,1.652,445,1.78,23988,56424.06612,56598.78436,31619.414557724802,31642.839718923413,-23.425161198611022,0,0,154,154
prevaddrmedianvalue,25000,1010,4.04,387,1.548,469,1.876,23990,218907.53124,219707.9032,189977.00488421228,189806.35653459793,170.64834961434826,0,0,154,154
prevaddrmurderindex,25000,1006,4.024,411,1.644,441,1.764,23994,90.1394,90.23576,61.19750910957611,61.105141977158155,0.09236713241795513,0,0,154,154
